scenario,carico_mbit,ripetizione,seq,rtt_ms
slicing,20,2,83,10.700
slicing,20,2,84,8.920
slicing,20,2,85,8.560
slicing,20,2,86,9.550
slicing,20,2,87,9.980
slicing,20,2,88,11.900
slicing,20,2,89,9.580
slicing,20,2,90,9.580
slicing,20,2,91,9.000
slicing,20,2,92,10.500
slicing,20,2,93,11.500
slicing,20,2,94,9.610
slicing,20,2,95,9.780
slicing,20,2,96,10.700
slicing,20,2,97,11.100
slicing,20,2,98,11.100
slicing,20,2,99,9.600
slicing,20,3,0,10.700
slicing,20,3,1,10.500
slicing,20,3,2,9.990
slicing,20,3,3,12.200
slicing,20,3,4,10.700
slicing,20,3,5,11.700
slicing,20,3,6,9.420
slicing,20,3,7,10.600
slicing,20,3,8,9.620
slicing,20,3,9,11.000
slicing,20,3,10,11.500
slicing,20,3,11,8.780
slicing,20,3,12,11.400
slicing,20,3,13,9.410
slicing,20,3,14,10.500
slicing,20,3,15,10.300
slicing,20,3,16,9.900
slicing,20,3,17,10.800
slicing,20,3,18,10.700
slicing,20,3,19,9.170
slicing,20,3,20,11.100
slicing,20,3,21,9.340
slicing,20,3,22,10.900
slicing,20,3,23,9.610
slicing,20,3,24,10.600
slicing,20,3,25,9.740
slicing,20,3,26,10.800
slicing,20,3,27,11.100
slicing,20,3,28,11.200
slicing,20,3,29,9.900
slicing,20,3,30,10.000
slicing,20,3,31,12.300
slicing,20,3,32,10.400
slicing,20,3,33,8.860
slicing,20,3,34,11.300
slicing,20,3,35,10.200
slicing,20,3,36,10.300
slicing,20,3,37,11.400
slicing,20,3,38,10.200
slicing,20,3,39,9.440
slicing,20,3,40,9.170
slicing,20,3,41,10.700
slicing,20,3,42,10.000
slicing,20,3,43,10.600
slicing,20,3,44,8.890
slicing,20,3,45,11.000
slicing,20,3,46,9.280
slicing,20,3,47,11.500
slicing,20,3,48,9.630
slicing,20,3,49,10.800
slicing,20,3,50,11.400
slicing,20,3,51,11.300
slicing,20,3,52,11.100
slicing,20,3,53,10.300
slicing,20,3,54,11.000
slicing,20,3,55,9.820
slicing,20,3,56,11.000
slicing,20,3,57,10.700
slicing,20,3,58,11.300
slicing,20,3,59,11.000
slicing,20,3,60,10.600
slicing,20,3,61,9.120
slicing,20,3,62,9.830
slicing,20,3,63,9.690
slicing,20,3,64,9.750
slicing,20,3,65,11.000
slicing,20,3,66,10.700
slicing,20,3,67,10.700
slicing,20,3,68,9.640
slicing,20,3,69,9.560
slicing,20,3,70,9.090
slicing,20,3,71,10.700
slicing,20,3,72,11.400
slicing,20,3,73,10.900
slicing,20,3,74,9.260
slicing,20,3,75,9.590
slicing,20,3,76,11.700
slicing,20,3,77,10.700
slicing,20,3,78,10.700
slicing,20,3,79,11.300
slicing,20,3,80,10.100
slicing,20,3,81,10.900
slicing,20,3,82,10.600
slicing,20,3,83,11.600
slicing,20,3,84,10.400
slicing,20,3,85,11.800
slicing,20,3,86,10.200
slicing,20,3,87,11.400
slicing,20,3,88,9.980
slicing,20,3,89,11.100
slicing,20,3,90,9.740
slicing,20,3,91,12.600
slicing,20,3,92,11.300
slicing,20,3,93,11.300
slicing,20,3,94,9.560
slicing,20,3,95,10.900
slicing,20,3,96,12.000
slicing,20,3,97,11.500
slicing,20,3,98,9.870
slicing,20,3,99,10.400
none,5,1,0,48.400
none,5,1,1,51.800
none,5,1,2,54.100
none,5,1,3,55.900
none,5,1,4,58.100
none,5,1,5,55.900
none,5,1,6,55.900
none,5,1,7,52.400
none,5,1,8,53.200
none,5,1,9,55.300
none,5,1,10,10.000
none,5,1,11,11.200
none,5,1,12,10.400
none,5,1,13,11.200
none,5,1,14,9.980
none,5,1,15,8.410
none,5,1,16,10.100
none,5,1,17,11.200
none,5,1,18,11.600
none,5,1,19,16.000
none,5,1,20,21.300
none,5,1,21,29.900
none,5,1,22,38.200
none,5,1,23,44.200
none,5,1,24,48.600
none,5,1,25,55.400
none,5,1,26,63.000
none,5,1,27,70.000
none,5,1,28,78.000
none,5,1,29,81.100
none,5,1,30,83.300
none,5,1,31,83.300
none,5,1,32,77.100
none,5,1,33,78.100
none,5,1,34,79.500
none,5,1,35,11.400
none,5,1,36,10.700
none,5,1,37,9.860
none,5,1,38,9.720
none,5,1,39,10.200
none,5,1,40,10.900
none,5,1,41,9.570
none,5,1,42,15.700
none,5,1,43,23.600
none,5,1,44,27.500
none,5,1,45,34.700
none,5,1,46,41.700
none,5,1,47,49.200
none,5,1,48,56.400
none,5,1,49,62.100
none,5,1,50,68.000
none,5,1,51,75.800
none,5,1,52,82.800
none,5,1,53,89.700
none,5,1,54,90.300
none,5,1,55,90.600
none,5,1,56,92.000
none,5,1,57,92.400
none,5,1,58,11.600
none,5,1,59,10.700
none,5,1,60,9.470
none,5,1,61,10.500
none,5,1,62,9.820
none,5,1,63,12.000
none,5,1,64,10.200
none,5,1,65,11.400
none,5,1,66,19.000
none,5,1,67,25.300
none,5,1,68,30.900
none,5,1,69,38.400
none,5,1,70,45.700
none,5,1,71,52.900
none,5,1,72,57.000
none,5,1,73,63.300
none,5,1,74,70.100
none,5,1,75,78.200
none,5,1,76,86.100
none,5,1,77,91.800
none,5,1,78,98.100
none,5,1,79,103.000
none,5,1,80,96.300
none,5,1,81,10.600
none,5,1,82,10.300
none,5,1,83,11.200
none,5,1,84,12.900
none,5,1,85,11.300
none,5,1,86,9.560
none,5,1,87,11.100
none,5,1,88,12.700
none,5,1,89,16.900
none,5,1,90,25.800
none,5,1,91,30.400
none,5,1,92,39.200
none,5,1,93,46.400
none,5,1,94,49.900
none,5,1,95,57.500
none,5,1,96,65.300
none,5,1,97,65.400
none,5,1,98,72.600
none,5,1,99,80.500
none,5,2,0,56.100
none,5,2,1,63.300
none,5,2,2,70.400
none,5,2,3,77.500
none,5,2,4,84.200
none,5,2,5,91.800
none,5,2,6,97.900
